year,state,revenue ,latitude,longitude
2000,ACT,2830,-35.3546004,149.2113468
2001,ACT,3131,-35.3546004,149.2113468
2002,ACT,3317,-35.3546004,149.2113468
2003,ACT,3487,-35.3546004,149.2113468
2004,ACT,3530,-35.3546004,149.2113468
2005,ACT,3634,-35.3546004,149.2113468
2006,ACT,3850,-35.3546004,149.2113468
2007,ACT,4101,-35.3546004,149.2113468
2008,ACT,4214,-35.3546004,149.2113468
2009,ACT,4439,-35.3546004,149.2113468
2010,ACT,4559,-35.3546004,149.2113468
2011,ACT,4578,-35.3546004,149.2113468
2012,ACT,4766,-35.3546004,149.2113468
2013,ACT,4950,-35.3546004,149.2113468
2014,ACT,5002,-35.3546004,149.2113468
2015,ACT,5233,-35.3546004,149.2113468
2016,ACT,5589,-35.3546004,149.2113468
2017,ACT,5729,-35.3546004,149.2113468
2018,ACT,5925,-35.3546004,149.2113468
2019,ACT,6142,-35.3546004,149.2113468
2020,ACT,6695,-35.3546004,149.2113468
2000,NSW,46296,-31.840233,145.612793
2001,NSW,49713,-31.840233,145.612793
2002,NSW,52799,-31.840233,145.612793
2003,NSW,55977,-31.840233,145.612793
2004,NSW,58981,-31.840233,145.612793
2005,NSW,59917,-31.840233,145.612793
2006,NSW,62737,-31.840233,145.612793
2007,NSW,67185,-31.840233,145.612793
2008,NSW,68538,-31.840233,145.612793
2009,NSW,73247,-31.840233,145.612793
2010,NSW,75475,-31.840233,145.612793
2011,NSW,76574,-31.840233,145.612793
2012,NSW,78656,-31.840233,145.612793
2013,NSW,81772,-31.840233,145.612793
2014,NSW,88813,-31.840233,145.612793
2015,NSW,93698,-31.840233,145.612793
2016,NSW,97953,-31.840233,145.612793
2017,NSW,100640,-31.840233,145.612793
2018,NSW,103408,-31.840233,145.612793
2019,NSW,104842,-31.840233,145.612793
2020,NSW,111409,-31.840233,145.612793
2000,NT,1428,-19.491411,132.550964
2001,NT,1466,-19.491411,132.550964
2002,NT,1575,-19.491411,132.550964
2003,NT,1629,-19.491411,132.550964
2004,NT,1748,-19.491411,132.550964
2005,NT,1784,-19.491411,132.550964
2006,NT,1929,-19.491411,132.550964
2007,NT,2154,-19.491411,132.550964
2008,NT,2406,-19.491411,132.550964
2009,NT,2631,-19.491411,132.550964
2010,NT,2685,-19.491411,132.550964
2011,NT,2761,-19.491411,132.550964
2012,NT,2877,-19.491411,132.550964
